id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period
1,,2000-01-03,"1,469.25","1,478.00","1,438.36","1,455.22","1,455.22","931,800,000"
2,,2000-01-04,"1,455.22","1,455.22","1,397.43","1,399.42","1,399.42","1,009,000,000"
3,,2000-01-05,"1,399.42","1,413.27","1,377.68","1,402.11","1,402.11","1,085,500,000"
4,,2000-01-06,"1,402.11","1,411.90","1,392.10","1,403.45","1,403.45","1,092,300,000"
5,,2000-01-07,"1,403.45","1,441.47","1,400.73","1,441.47","1,441.47","1,225,200,000"
6,,2000-01-10,"1,441.47","1,464.36","1,441.47","1,457.60","1,457.60","1,064,800,000"
7,,2000-01-11,"1,457.60","1,458.66","1,434.42","1,438.56","1,438.56","1,014,000,000"
8,,2000-01-12,"1,438.56","1,442.60","1,427.08","1,432.25","1,432.25","974,600,000"
9,,2000-01-13,"1,432.25","1,454.20","1,432.25","1,449.68","1,449.68","1,030,400,000"
10,,2000-01-14,"1,449.68","1,473.00","1,449.68","1,465.15","1,465.15","1,085,900,000"
11,,2000-01-18,"1,465.15","1,465.15","1,451.30","1,455.14","1,455.14","1,056,700,000"
12,,2000-01-19,"1,455.14","1,461.39","1,448.68","1,455.90","1,455.90","1,087,800,000"
13,,2000-01-20,"1,455.90","1,465.71","1,438.54","1,445.57","1,445.57","1,100,700,000"
14,,2000-01-21,"1,445.57","1,453.18","1,439.60","1,441.36","1,441.36","1,209,800,000"
15,,2000-01-24,"1,441.36","1,454.09","1,395.42","1,401.53","1,401.53","1,115,800,000"
16,,2000-01-25,"1,401.53","1,414.26","1,388.49","1,410.03","1,410.03","1,073,700,000"
17,,2000-01-26,"1,410.03","1,412.73","1,400.16","1,404.09","1,404.09","1,117,300,000"
18,,2000-01-27,"1,404.09","1,418.86","1,370.99","1,398.56","1,398.56","1,129,500,000"
19,,2000-01-28,"1,398.56","1,398.56","1,356.20","1,360.16","1,360.16","1,095,800,000"
20,,2000-01-31,"1,360.16","1,394.48","1,350.14","1,394.46","1,394.46","993,800,000"
21,,2000-02-01,"1,394.46","1,412.49","1,384.79","1,409.28","1,409.28","981,000,000"
22,,2000-02-02,"1,409.28","1,420.61","1,403.49","1,409.12","1,409.12","1,038,600,000"
23,,2000-02-03,"1,409.12","1,425.78","1,398.52","1,424.97","1,424.97","1,146,500,000"
24,,2000-02-04,"1,424.97","1,435.91","1,420.63","1,424.37","1,424.37","1,045,100,000"
25,,2000-02-07,"1,424.37","1,427.15","1,413.33","1,424.24","1,424.24","918,100,000"
26,,2000-02-08,"1,424.24","1,441.83","1,424.24","1,441.72","1,441.72","1,047,700,000"
27,,2000-02-09,"1,441.72","1,444.55","1,411.65","1,411.71","1,411.71","1,050,500,000"
28,,2000-02-10,"1,411.70","1,422.10","1,406.43","1,416.83","1,416.83","1,058,800,000"
29,,2000-02-11,"1,416.83","1,416.83","1,378.89","1,387.12","1,387.12","1,025,700,000"
30,,2000-02-14,"1,387.12","1,394.93","1,380.53","1,389.94","1,389.94","927,300,000"
31,,2000-02-15,"1,389.94","1,407.72","1,376.25","1,402.05","1,402.05","1,092,100,000"
32,,2000-02-16,"1,402.05","1,404.55","1,385.58","1,387.67","1,387.67","1,018,800,000"
33,,2000-02-17,"1,387.67","1,399.88","1,380.07","1,388.26","1,388.26","1,034,800,000"
34,,2000-02-18,"1,388.26","1,388.59","1,345.32","1,346.09","1,346.09","1,042,300,000"
35,,2000-02-22,"1,346.09","1,358.11","1,331.88","1,352.17","1,352.17","980,000,000"
36,,2000-02-23,"1,352.17","1,370.11","1,342.44","1,360.69","1,360.69","993,700,000"
37,,2000-02-24,"1,360.69","1,364.80","1,329.88","1,353.43","1,353.43","1,215,000,000"
38,,2000-02-25,"1,353.43","1,362.14","1,329.15","1,333.36","1,333.36","1,065,200,000"
39,,2000-02-28,"1,333.36","1,360.82","1,325.07","1,348.05","1,348.05","1,026,500,000"
40,,2000-02-29,"1,348.05","1,369.63","1,348.05","1,366.42","1,366.42","1,204,300,000"
41,,2000-03-01,"1,366.42","1,383.46","1,366.42","1,379.19","1,379.19","1,274,100,000"
42,,2000-03-02,"1,379.19","1,386.56","1,370.35","1,381.76","1,381.76","1,198,600,000"
43,,2000-03-03,"1,381.76","1,410.88","1,381.76","1,409.17","1,409.17","1,150,300,000"
44,,2000-03-06,"1,409.17","1,409.74","1,384.75","1,391.28","1,391.28","1,029,000,000"
45,,2000-03-07,"1,391.28","1,399.21","1,349.99","1,355.62","1,355.62","1,314,100,000"
46,,2000-03-08,"1,355.62","1,373.79","1,346.62","1,366.70","1,366.70","1,203,000,000"
47,,2000-03-09,"1,366.70","1,401.82","1,357.88","1,401.69","1,401.69","1,123,000,000"
48,,2000-03-10,"1,401.69","1,413.46","1,392.07","1,395.07","1,395.07","1,138,800,000"
49,,2000-03-13,"1,395.07","1,398.39","1,364.84","1,383.62","1,383.62","1,016,100,000"
50,,2000-03-14,"1,383.62","1,395.15","1,359.15","1,359.15","1,359.15","1,094,000,000"
51,,2000-03-15,"1,359.15","1,397.99","1,356.99","1,392.14","1,392.14","1,302,800,000"
52,,2000-03-16,"1,392.15","1,458.47","1,392.15","1,458.47","1,458.47","1,482,300,000"
53,,2000-03-17,"1,458.47","1,477.33","1,453.32","1,464.47","1,464.47","1,295,100,000"
54,,2000-03-20,"1,464.47","1,470.30","1,448.49","1,456.63","1,456.63","920,800,000"
55,,2000-03-21,"1,456.63","1,493.92","1,446.06","1,493.87","1,493.87","1,065,900,000"
56,,2000-03-22,"1,493.87","1,505.08","1,487.33","1,500.64","1,500.64","1,075,000,000"
57,,2000-03-23,"1,500.64","1,532.50","1,492.39","1,527.35","1,527.35","1,078,300,000"
58,,2000-03-24,"1,527.35","1,552.87","1,516.83","1,527.46","1,527.46","1,052,200,000"
59,,2000-03-27,"1,527.46","1,534.63","1,518.46","1,523.86","1,523.86","901,000,000"
60,,2000-03-28,"1,523.86","1,527.36","1,507.09","1,507.73","1,507.73","959,100,000"
61,,2000-03-29,"1,507.73","1,521.45","1,497.45","1,508.52","1,508.52","1,061,900,000"
62,,2000-03-30,"1,508.52","1,517.38","1,474.63","1,487.92","1,487.92","1,193,400,000"
63,,2000-03-31,"1,487.92","1,519.81","1,484.38","1,498.58","1,498.58","1,227,400,000"
64,,2000-04-03,"1,498.58","1,507.19","1,486.96","1,505.97","1,505.97","1,021,700,000"
65,,2000-04-04,"1,505.98","1,526.45","1,416.41","1,494.73","1,494.73","1,515,460,000"
66,,2000-04-05,"1,494.73","1,506.55","1,478.05","1,487.37","1,487.37","1,110,300,000"
67,,2000-04-06,"1,487.37","1,511.76","1,487.37","1,501.34","1,501.34","1,008,000,000"
68,,2000-04-07,"1,501.34","1,518.68","1,501.34","1,516.35","1,516.35","891,600,000"
69,,2000-04-10,"1,516.35","1,527.19","1,503.35","1,504.46","1,504.46","853,700,000"
70,,2000-04-11,"1,504.46","1,512.80","1,486.78","1,500.59","1,500.59","971,400,000"
71,,2000-04-12,"1,500.59","1,509.08","1,466.15","1,467.17","1,467.17","1,175,900,000"
